# sheet: 국가코드목록
국가코드    국가명
13    13922    어망 및 기타 끈 가공품 제조업
13    13991    세폭직물 제조업
13    13992    부직포 및 펠트 제조업
13    13993    특수사 및 코드직물 제조업
13    13994    표면처리 및 적층 직물 제조업
13    13999    그 외 기타 섬유제품 제조업
14    14111    남자용 겉옷 제조업
14    14112    여자용 겉옷 제조업
14    14120    속옷 및 잠옷 제조업
14    14191    셔츠 및 블라우스 제조업
14    14192    근무복, 작업복 및 유사의복 제조업
14    14193    가죽의복 제조업
14    14194    유아용 의복 제조업
14    14199    그 외 기타 봉제의복 제조업
14    14200    모피제품 제조업
14    14300    편조의복 제조업
14    14411    스타킹 및 기타 양말 제조업
14    14419    기타 편조의복 액세서리 제조업
14    14499    그 외 기타 의복액세서리 제조업
15    15110    모피 및 가죽 제조업
15    15129    가방 및 기타 보호용 케이스 제조업
15    15190    기타 가죽제품 제조업
15    15211    구두류 제조업
15    15219    기타 신발 제조업
15    15220    신발 부분품 제조업
16    16101    일반 제재업
16    16102    표면 가공 목재 및 특정 목적용 제재목 제조업
16    16103    목재 보존, 방부처리, 도장 및 유사 처리업
16    16211    박판, 합판 및 유사 적층판 제조업
16    16212    강화 및 재생 목재 제조업
16    16221    목재문 및 관련제품 제조업
16    16229    기타 건축용 나무제품 제조업
16    16231    목재 깔판류 및 기타 적재판 제조업
16    16232    목재 포장용 상자, 드럼 및 유사용기 제조업
16    16291    목재 도구 및 주방용 나무제품 제조업
16    16292    장식용 목제품 제조업
16    16299    그 외 기타 나무제품 제조업
16    16300    코르크 및 조물 제품 제조업
17    17101    펄프 제조업
17    17102    신문용지 제조업
17    17103    인쇄용 및 필기용 원지 제조업
17    17105    크라프트지 및 기타 상자용 판지 제조업
17    17106    위생용 원지 제조업
17    17109    기타 종이 및 판지 제조업
17    17110    펄프 제조업
17    17121    신문용지 제조업
17    17122    인쇄용 및 필기용 원지 제조업
17    17123    크라프트지 및 상자용 판지 제조업
17    17124    적층, 합성 및 특수표면처리 종이 제조업
17    17125    위생용 원지 제조업
17    17129    기타 종이 및 판지 제조업
17    17211    골판지 제조업
17    17212    골판지 상자 및 가공제품 제조업
17    17221    종이 포대 및 가방 제조업
17    17222    판지 상자 및 용기 제조업
17    17223    식품 위생용 종이 상자 및 용기 제조업
17    17229    기타 종이 상자 및 용기 제조업
17    17901    문구용 종이제품 제조업
17    17902    위생용 종이제품 제조업
17    17903    벽지 및 장판지 제조업
17    17904    적층, 합성 및 특수표면처리 종이 제조업
17    17909    그 외 기타 종이 및 판지 제품 제조업
18    18111    경 인쇄업
18    18112    스크린 인쇄업
18    18113    오프셋 인쇄업
18    18119    기타 인쇄업
18    18121    제판 및 조판업
18    18122    제책업
18    18129    기타 인쇄관련 산업
18    18200    기록매체 복제업
19    19210    원유 정제처리업
19    19221    윤활유 및 그리스 제조업
19    19229    기타 석유정제물 재처리업
20    20111    석유화학계 기초 화학물질 제조업
20    20112    바이오매스계 기초 화학물질 제조업
20    20119    기타 기초 유기 화학물질 제조업
20    20121    수소 제조업
20    20122    산소, 질소 및 기타 산업용 가스 제조업
20    20129    기타 기초 무기 화학물질 제조업
20    20131    무기안료용 금속 산화물 및 관련 제품 제조업
20    20132    염료, 조제 무기안료, 유연제 및 기타 착색제 제조업
20    20201    합성고무 제조업
20    20202    합성수지 및 기타 플라스틱 물질 제조업
20    20311    질소화합물, 질소, 인산 및 칼리질 화학비료 제조업
20    20312    복합비료 및 기타 화학비료 제조업
20    20313    유기질 비료 및 상토 제조업
20    20321    화학 살균.살충제 및 농업용 약제 제조업
20    20322    생물 살균.살충제 및 식물보호제 제조업
20    20411    일반용 도료 및 관련제품 제조업
20    20412    요업용 도포제 및 관련제품 제조업
20    20413    인쇄잉크 및 회화용 물감 제조업
20    20421    계면활성제 제조업
20    20422    치약, 비누 및 기타 세제 제조업
20    20423    화장품 제조업
20    20424    표면광택제 및 실내가향제 제조업
20    20491    감광재료 및 관련 화학제품 제조업
20    20493    접착제 및 젤라틴 제조업
20    20494    화약 및 불꽃제품 제조업
20    20499    그 외 기타 화학제품 제조업
20    20501    합성섬유 제조업
20    20502    재생섬유 제조업
21    21100    기초 의약 물질 제조업
21    21101    의약용 화합물 및 항생물질 제조업
21    21210    완제 의약품 제조업
21    21211    생물 의약품 제조업
21    21230    동물용 의약품 제조업
21    21300    의료용품 및 기타 의약 관련제품 제조업
21    21309    그 외 기타 의료용품 및 의약 관련제품 제조업
22    22110    고무 타이어 및 튜브 제조업
22    22111    타이어 및 튜브 제조업
22    22112    타이어 재생업
22    22191    고무패킹류 제조업
22    22192    산업용 그 외 비경화 고무제품 제조업
22    22193    고무 의류 및 기타 위생용 비경화 고무제품 제조업
22    22199    그 외 기타 고무제품 제조업
22    22211    플라스틱 선, 봉, 관 및 호스 제조업
22    22212    플라스틱 필름 제조업
22    22213    플라스틱 시트 및 판 제조업
22    22214    플라스틱 합성피혁 제조업
22    22221    벽 및 바닥 피복용 플라스틱제품 제조업
22    22222    설치용 및 위생용 플라스틱제품 제조업
22    22223    플라스틱 창호 제조업
22    22229    기타 건축용 플라스틱 조립제품 제조업
22    22231    플라스틱 포대, 봉투 및 유사제품 제조업
22    22232    포장용 플라스틱 성형용기 제조업
22    22241    운송장비 조립용 플라스틱제품 제조업
22    22249    기타 기계.장비 조립용 플라스틱 제품 제조업
22    22251    폴리스티렌 발포 성형제품 제조업
22    22259    기타 플라스틱 발포 성형제품 제조업
22    22291    플라스틱 접착처리 제품 제조업
22    22292    플라스틱 적층, 도포 및 기타 표면처리 제품 제조업
22    22299    그 외 기타 플라스틱 제품 제조업
23    23111    판유리 제조업
23    23112    안전유리 제조업
23    23119    기타 판유리 가공품 제조업
23    23121    1차 유리제품, 유리섬유 및 광학용 유리 제조업
23    23122    디스플레이 장치용 유리 제조업
23    23129    기타 산업용 유리제품 제조업
23    23191    가정용 유리제품 제조업
23    23192    포장용 유리용기 제조업
23    23199    그 외 기타 유리제품 제조업
23    23211    정형 내화 요업제품 제조업
23    23221    가정용 및 장식용 도자기 제조업
23    23222    위생용 및 산업용 도자기 제조업
23    23229    기타 일반 도자기 제조업
23    23231    점토 벽돌, 블록 및 유사 비내화 요업제품 제조업
23    23232    타일 및 유사 비내화 요업제품 제조업
23    23239    기타 건축용 비내화 요업제품 제조업
23    23311    시멘트 제조업
23    23312    석회 및 플라스터 제조업
23    23321    비내화 모르타르 제조업
23    23322    레미콘 제조업
23    23323    플라스터 혼합제품 제조업
23    23324    콘크리트 타일, 기와, 벽돌 및 블록 제조업
23    23325    콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
23    23329    그 외 기타 콘크리트 제품 및 유사제품 제조업
23    23911    건설용 석제품 제조업
23    23919    기타 석제품 제조업
23    23991    아스팔트 콘크리트 및 혼합제품 제조업
23    23992    연마재 제조업
23    23993    비금속광물 분쇄물 생산업
23    23994    암면 및 유사제품 제조업
23    23995    탄소섬유 제조업
23    23999    그 외 기타 분류 안된 비금속 광물제품 제조업
24    24111    제철업
24    24112    제강업
24    24113    합금철 제조업
24    24119    기타 1차 철강 제조업
24    24121    열간 압연 및 압출 제품 제조업
24    24122    냉간 압연 및 압출 제품 제조업
24    24123    철강선 제조업
24    24131    주철관 제조업
24    24132    강관 제조업
24    24133    강관 가공품 및 관 연결구류 제조업
24    24191    도금, 착색 및 기타 표면처리강재 제조업
24    24199    그 외 기타 1차 철강 제조업
24    24212    알루미늄 제련, 정련 및 합금 제조업
24    24213    연 및 아연 제련, 정련 및 합금 제조업
24    24219    기타 비철금속 제련, 정련 및 합금 제조업
24    24221    동 압연, 압출 및 연신제품 제조업
24    24222    알루미늄 압연, 압출 및 연신제품 제조업
24    24229    기타 비철금속 압연, 압출 및 연신 제품 제조업
24    24290    기타 1차 비철금속 제조업
24    24311    선철주물 주조업
24    24312    강주물 주조업
24    24321    알루미늄주물 주조업
24    24322    동주물 주조업
24    24329    기타 비철금속 주조업
25    25111    금속 문, 창, 셔터 및 관련제품 제조업
25    25112    구조용 금속 판제품 및 공작물 제조업
25    25113    육상 금속 골조 구조재 제조업
25    25114    수상 금속 골조 구조재 제조업
25    25119    기타 구조용 금속제품 제조업
25    25121    산업용 난방보일러 및 방열기 제조업
25    25122    금속탱크 및 저장용기 제조업
25    25130    핵반응기 및 증기 보일러 제조업
25    25200    무기 및 총포탄 제조업
25    25911    분말 야금제품 제조업
25    25912    금속 단조제품 제조업
25    25913    자동차용 금속 압형제품 제조업
25    25914    그 외 금속 압형제품 제조업
25    25922    도금업
25    25923    도장 및 기타 피막처리업
25    25924    절삭가공 및 유사처리업
25    25929    그 외 기타 금속가공업
25    25931    날붙이 제조업
25    25932    일반철물 제조업
25    25933    비동력식 수공구 제조업
25    25934    톱 및 호환성 공구 제조업
25    25941    볼트 및 너트류 제조업
25    25942    그 외 금속파스너 및 나사제품 제조업
25    25943    금속 스프링 제조업
25    25944    금속선 가공제품 제조업
25    25991    금속 캔 및 기타 포장용기 제조업
25    25992    수동식 식품 가공기기 및 금속 주방용기 제조업
25    25993    금속 위생용품 제조업
25    25994    금속 표시판 제조업
25    25995    피복 및 충전 용접봉 제조업
25    25999    그 외 기타 분류 안된 금속 가공 제품 제조업
26    26111    메모리용 전자집적회로 제조업
26    26112    비메모리용 및 기타 전자집적회로 제조업
26    26121    발광 다이오드 제조업
26    26129    기타 반도체소자 제조업
26    26211    액정 표시장치 제조업
26    26212    유기발광 표시장치 제조업
26    26219    기타 표시장치 제조업
26    26221    인쇄회로기판용 적층판 제조업
26    26222    경성 인쇄회로기판 제조업
26    26223    연성 및 기타 인쇄회로기판 제조업
26    26224    전자부품 실장기판 제조업
26    26291    전자축전기 제조업
26    26292    전자저항기 및 전자카드 제조업
26    26293    전자코일, 변성기 및 기타 전자 유도자 제조업
26    26294    전자감지장치 제조업
26    26295    전자감지장치 제조업
26    26299    그 외 기타 전자부품 제조업
26    26310    컴퓨터 제조업
26    26321    기억장치 제조업
26    26323    컴퓨터 프린터 제조업
26    26329    기타 주변기기 제조업
26    26410    유선 통신장비 제조업
26    26421    방송장비 제조업
26    26422    이동전화기 제조업
26    26429    기타 무선 통신장비 제조업
26    26511    텔레비전 제조업
26    26519    비디오 및 기타 영상기기 제조업
26    26521    라디오, 녹음 및 재생 기기 제조업
26    26529    기타 음향기기 제조업
26    26600    마그네틱 및 광학 매체 제조업
27    27111    방사선 장치 제조업
27    27112    전기식 진단 및 요법 기기 제조업
27    27191    치과용 기기 제조업
27    27192    치과기공물 제조업
27    27193    치과용 임플란트 제조업
27    27194    정형외과용 및 신체 보정용 기기 제조업
27    27195    안경 및 안경렌즈 제조업
27    27199    그 외 기타 의료용 기기 제조업
27    27211    레이더, 항행용 무선기기 및 측량기구 제조업
27    27212    전자기 측정, 시험 및 분석기구 제조업
27    27213    물질 검사, 측정 및 분석기구 제조업
27    27214    속도계 및 적산계기 제조업
27    27215    기기용 자동측정 및 제어장치 제조업
27    27216    산업처리공정 제어장비 제조업
27    27219    기타 측정, 시험, 항해, 제어 및 정밀기기 제조업
27    27220    시계 및 시계부품 제조업
27    27301    광학렌즈 및 광학요소 제조업
27    27302    사진기, 영사기 및 관련 장비 제조업
